team,generation_pctile,making_pctile,window,volume_gap,mix_gap_total,total_gap,primary_driver,fit_read,zone,mix_contribution,type,identity_driven
ATL,100,0,bubble,3.4629720813333282,4.516271758611999,7.979243839945327,both,judgment (lean hold or sell): the late-August World Cup break favors hold-and-reassess unless the trajectory is clearly improving,Above the Break 3,-0.023254784074627353,slightly below-mean volume,FALSE
ATL,100,0,bubble,3.4629720813333282,4.516271758611999,7.979243839945327,both,judgment (lean hold or sell): the late-August World Cup break favors hold-and-reassess unless the trajectory is clearly improving,Corner 3,-0.015426448602902558,missing efficient looks,FALSE
ATL,100,0,bubble,3.4629720813333282,4.516271758611999,7.979243839945327,both,judgment (lean hold or sell): the late-August World Cup break favors hold-and-reassess unless the trajectory is clearly improving,In The Paint (Non-RA),0.6593104028627532,,FALSE
ATL,100,0,bubble,3.4629720813333282,4.516271758611999,7.979243839945327,both,judgment (lean hold or sell): the late-August World Cup break favors hold-and-reassess unless the trajectory is clearly improving,Mid-Range,1.758984774799075,,TRUE
ATL,100,0,bubble,3.4629720813333282,4.516271758611999,7.979243839945327,both,judgment (lean hold or sell): the late-August World Cup break favors hold-and-reassess unless the trajectory is clearly improving,Restricted Area,2.136657813627694,,TRUE
CHI,79,21,seller,-0.7178265247671431,2.1614867043893637,1.4436601796222206,mix,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,Above the Break 3,0.08352795149321282,,FALSE
CHI,79,21,seller,-0.7178265247671431,2.1614867043893637,1.4436601796222206,mix,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,Corner 3,0.046933276566093286,,FALSE
CHI,79,21,seller,-0.7178265247671431,2.1614867043893637,1.4436601796222206,mix,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,In The Paint (Non-RA),0.23097765983393231,,FALSE
CHI,79,21,seller,-0.7178265247671431,2.1614867043893637,1.4436601796222206,mix,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,Mid-Range,0.4678894522153517,,FALSE
CHI,79,21,seller,-0.7178265247671431,2.1614867043893637,1.4436601796222206,mix,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,Restricted Area,1.3321583642807804,,TRUE
CON,57,14,seller,0.6355374821544926,0.027930462768637466,0.66346794492313,volume,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,Above the Break 3,0.17106237948705796,,TRUE
CON,57,14,seller,0.6355374821544926,0.027930462768637466,0.66346794492313,volume,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,Corner 3,-0.1384604591431384,missing efficient looks,FALSE
CON,57,14,seller,0.6355374821544926,0.027930462768637466,0.66346794492313,volume,sell / accumulate: out of the race -- deal expirings and prioritize asset value over a deadline buy,In The Paint (Non-RA),0.22329089890752457,,FALSE
